# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
#       1.049743788834e-05       4.730185378085e+01 
#       2.344149064293e-05       1.027851568326e+02 
#       3.643149987812e-05       1.573668094877e+02 
#       4.950276037637e-05       2.116087146266e+02 
#       6.269115629253e-05       2.658354482307e+02 
#       7.603348425312e-05       3.202932238625e+02 
#       8.956778688270e-05       3.751945691059e+02 
       1.867288615114e-03       6.692877238114e+03 
       1.968493910374e-03       7.011568299439e+03 
       2.071893894374e-03       7.332833688803e+03 
       2.177303977961e-03       7.655860089967e+03 
       2.284550807596e-03       7.979899931961e+03 
       2.393473213354e-03       8.304274492939e+03 
       2.503922555405e-03       8.628370842409e+03 
       2.615762621462e-03       8.951640852060e+03 
       2.728869207296e-03       9.273598522413e+03 
       2.843129488410e-03       9.593812480411e+03 
       2.958441267353e-03       9.911905553257e+03 
       3.074712159995e-03       1.022754579354e+04 
       3.191858766366e-03       1.054044523525e+04 
       3.309805857433e-03       1.085035365717e+04 
       3.428485598284e-03       1.115705591775e+04 
       3.547836820028e-03       1.146036417571e+04 
       3.667804346820e-03       1.176012206100e+04 
       3.788338380336e-03       1.205619413483e+04 
       3.909393941216e-03       1.234846815038e+04 
       4.030930365231e-03       1.263684857346e+04 
       4.152910850844e-03       1.292125966278e+04 
       4.275302054290e-03       1.320163565210e+04 
       4.398073728047e-03       1.347793046645e+04 
       4.521198398615e-03       1.375010077583e+04 
       4.644651079628e-03       1.401812061216e+04 
       4.768409016616e-03       1.428196656740e+04 
       4.892451459957e-03       1.454161885944e+04 
       5.016759462915e-03       1.479709228982e+04 
       5.141315701932e-03       1.504837998858e+04 
       5.266104316637e-03       1.529547886389e+04 
       5.391110767315e-03       1.553841155523e+04 
       5.516321707831e-03       1.577717828877e+04 
       5.641724872217e-03       1.601180036079e+04 
       5.767308973374e-03       1.624229555030e+04 
       5.893063612462e-03       1.646868620723e+04 
       6.018979197799e-03       1.669100078240e+04 
       6.145046872152e-03       1.690926350073e+04 
       6.271258447491e-03       1.712350430824e+04 
       6.397606346368e-03       1.733375279403e+04 
       6.524083549175e-03       1.754003804342e+04 
       6.650683546636e-03       1.774239634593e+04 
       6.777400296968e-03       1.794086191596e+04 
       6.904228187186e-03       1.813546540284e+04 
       7.031161998130e-03       1.832624886697e+04 
       7.158196872798e-03       1.851324398283e+04 
       7.285328287651e-03       1.869648419768e+04 
       7.412552026568e-03       1.887600969455e+04 
       7.539864157194e-03       1.905185554381e+04 
       7.667261009418e-03       1.922406567023e+04 
       7.794739155780e-03       1.939266388573e+04 
       7.922295393610e-03       1.955770558304e+04 
       8.049926728727e-03       1.971921692730e+04 
       8.177630360542e-03       1.987723389245e+04 
       8.305403668443e-03       2.003180034908e+04 
       8.433244199320e-03       2.018295528079e+04 
       8.561149656140e-03       2.033073431542e+04 
       8.689117887464e-03       2.047517173759e+04 
       8.817146877816e-03       2.061630933892e+04 
       8.945234738842e-03       2.075417990208e+04 
       9.073379701171e-03       2.088882174601e+04 
       9.201580106917e-03       2.102027337379e+04 
       9.329834402781e-03       2.114856446145e+04 
       9.458141133679e-03       2.127374032798e+04 
       9.586498936868e-03       2.139582947409e+04 
       9.714906536516e-03       2.151485907946e+04 
       9.843362738684e-03       2.163088277602e+04 
       9.971866426687e-03       2.174392054440e+04 
       1.010041655680e-02       2.185401162315e+04 
       1.022901215427e-02       2.196119036052e+04 
       1.035765230964e-02       2.206548418532e+04 
       1.048633617533e-02       2.216693292842e+04 
       1.061506296247e-02       2.226556989446e+04 
       1.074383193793e-02       2.236142700384e+04 
       1.087264242162e-02       2.245453534473e+04 
       1.100149378393e-02       2.254492224868e+04 
       1.113038544340e-02       2.263263365989e+04 
       1.125931686448e-02       2.271768453887e+04 
       1.138828755552e-02       2.280011587310e+04 
       1.151729706690e-02       2.287996662996e+04 
       1.164634498920e-02       2.295724728916e+04 
       1.177543095163e-02       2.303200833459e+04 
       1.190455462045e-02       2.310426734119e+04 
       1.203371569759e-02       2.317406496142e+04 
       1.216291391931e-02       2.324142130477e+04 
       1.229214905499e-02       2.330637087198e+04 
       1.242142090596e-02       2.336894782492e+04 
       1.255072930447e-02       2.342917811471e+04 
       1.268007411270e-02       2.348708742373e+04 
       1.280945522186e-02       2.354271485261e+04 
       1.293887255129e-02       2.359607933909e+04 
       1.306832604776e-02       2.364721255530e+04 
       1.319781568468e-02       2.369614266016e+04 
       1.332734146145e-02       2.374289562920e+04 
       1.345690340285e-02       2.378749587900e+04 
       1.358650155848e-02       2.382998152437e+04 
       1.371613600221e-02       2.387035900606e+04 
       1.384580683173e-02       2.390867666621e+04 
       1.397551416807e-02       2.394494215490e+04 
       1.410525815527e-02       2.397918736677e+04 
       1.423503895996e-02       2.401144203821e+04 
       1.436485677106e-02       2.404172992215e+04 
       1.449471179948e-02       2.407007867246e+04 
       1.462460427788e-02       2.409650409423e+04 
       1.475453446040e-02       2.412103698277e+04 
       1.488450262251e-02       2.414370068249e+04 
       1.501450906081e-02       2.416451662762e+04 
       1.514455409288e-02       2.418351944797e+04 
       1.527463805718e-02       2.420072639738e+04 
       1.540476131293e-02       2.421614948665e+04 
       1.553492424007e-02       2.422982931198e+04 
       1.566512723919e-02       2.424178711837e+04 
       1.579537073151e-02       2.425202415428e+04 
       1.592565515890e-02       2.426058619522e+04 
       1.605598098384e-02       2.426748214204e+04 
       1.618634868952e-02       2.427274592309e+04 
       1.631675877986e-02       2.427639692292e+04 
       1.644721177959e-02       2.427845433248e+04 
       1.657770823436e-02       2.427893513040e+04 
       1.670824871085e-02       2.427785983056e+04 
       1.683883379690e-02       2.427527275133e+04 
       1.696946410165e-02       2.427117761936e+04 
       1.710014025572e-02       2.426557068490e+04 
       1.723086291138e-02       2.425850884999e+04 
       1.736163274279e-02       2.425000024222e+04 
       1.749245044617e-02       2.424009802205e+04 
       1.762331674007e-02       2.422876063669e+04 
       1.775423236560e-02       2.421603671325e+04 
       1.788519808673e-02       2.420196958644e+04 
       1.801621469053e-02       2.418654523955e+04 
       1.814728298754e-02       2.416979312637e+04 
       1.827840381201e-02       2.415174902066e+04 
       1.840957802229e-02       2.413241040094e+04 
       1.854080650118e-02       2.411181362620e+04 
       1.867209015626e-02       2.408995804097e+04 
       1.880342992035e-02       2.406689633361e+04 
       1.893482675181e-02       2.404260683007e+04 
       1.906628163508e-02       2.401714773054e+04 
       1.919779558100e-02       2.399051232122e+04 
       1.932936962738e-02       2.396270731321e+04 
       1.946100483937e-02       2.393376984489e+04 
       1.959270231003e-02       2.390374644162e+04 
       1.972446316079e-02       2.387259880228e+04 
       1.985628854201e-02       2.384041620495e+04 
       1.998817963353e-02       2.380713513093e+04 
       2.012013764521e-02       2.377283007623e+04 
       2.025216381752e-02       2.373749521095e+04 
       2.038425942219e-02       2.370113492164e+04 
       2.051642576279e-02       2.366381358556e+04 
       2.064866417540e-02       2.362550131941e+04 
       2.078097602928e-02       2.358622498170e+04 
       2.091336272756e-02       2.354606165507e+04 
       2.104582570797e-02       2.350492852054e+04 
       2.117836644353e-02       2.346289183961e+04 
       2.131098644339e-02       2.341999205748e+04 
       2.144368725356e-02       2.337622144295e+04 
       2.157647045771e-02       2.333155935934e+04 
       2.170933767807e-02       2.328608377842e+04 
       2.184229057624e-02       2.323979509883e+04 
       2.197533085410e-02       2.319268171988e+04 
       2.210846025472e-02       2.314479323115e+04 
       2.224168056333e-02       2.309608338375e+04 
       2.237499360827e-02       2.304667021193e+04 
       2.250840126202e-02       2.299650159177e+04 
       2.264190544221e-02       2.294558407803e+04 
       2.277550811274e-02       2.289396010218e+04 
       2.290921128482e-02       2.284164983077e+04 
       2.304301701819e-02       2.278858305102e+04 
       2.317692742221e-02       2.273491373237e+04 
       2.331094465715e-02       2.268057058196e+04 
       2.344507093537e-02       2.262557916554e+04 
       2.357930852268e-02       2.256994654780e+04 
       2.371365973961e-02       2.251371076775e+04 
       2.384812696282e-02       2.245688038291e+04 
       2.398271262651e-02       2.239944220249e+04 
       2.411741922386e-02       2.234140631629e+04 
       2.425224930857e-02       2.228286328769e+04 
       2.438720549639e-02       2.222372102131e+04 
       2.452229046676e-02       2.216407386685e+04 
       2.465750696442e-02       2.210387515884e+04 
       2.479285780117e-02       2.204317055893e+04 
       2.492834585761e-02       2.198197526471e+04 
       2.506397408497e-02       2.192028171989e+04 
       2.519974550703e-02       2.185812274992e+04 
       2.533566322200e-02       2.179550764435e+04 
       2.547173040462e-02       2.173245482801e+04 
       2.560795030815e-02       2.166889829846e+04 
       2.574432626660e-02       2.160502447251e+04 
       2.588086169693e-02       2.154064845228e+04 
       2.601756010130e-02       2.147592737849e+04 
       2.615442506955e-02       2.141076053426e+04 
       2.629146028154e-02       2.134516603587e+04 
       2.642866950981e-02       2.127933176550e+04 
       2.656605662213e-02       2.121309664713e+04 
       2.670362558426e-02       2.114644740656e+04 
       2.684138046277e-02       2.107955670501e+04 
       2.697932542799e-02       2.101225914583e+04 
       2.711746475697e-02       2.094468317911e+04 
       2.725580283669e-02       2.087680170916e+04 
       2.739434416725e-02       2.080863640633e+04 
       2.753309336527e-02       2.074015650004e+04 
       2.767205516740e-02       2.067141218982e+04 
       2.781123443389e-02       2.060239089859e+04 
       2.795063615238e-02       2.053312563083e+04 
       2.809026544179e-02       2.046363595739e+04 
       2.823012755638e-02       2.039386721897e+04 
       2.837022788990e-02       2.032390987820e+04 
       2.851057198001e-02       2.025368295143e+04 
       2.865116551275e-02       2.018324662922e+04 
       2.879201432730e-02       2.011266836978e+04 
       2.893312442082e-02       2.004189275782e+04 
       2.907450195354e-02       1.997085992959e+04 
       2.921615325408e-02       1.989967973002e+04 
       2.935808482489e-02       1.982835458949e+04 
       2.950030334802e-02       1.975684582850e+04 
       2.964281569104e-02       1.968516816184e+04 
       2.978562891323e-02       1.961343253311e+04 
       2.992875027206e-02       1.954147582784e+04 
       3.007218722991e-02       1.946933465970e+04 
       3.021594746104e-02       1.939718409746e+04 
       3.036003885896e-02       1.932485289782e+04 
       3.050446954397e-02       1.925238971174e+04 
       3.064924787117e-02       1.917986811549e+04 
       3.079438243873e-02       1.910725265095e+04 
       3.093988209656e-02       1.903453513393e+04 
       3.108575595533e-02       1.896173017202e+04 
       3.123201339595e-02       1.888885371290e+04 
       3.137866407942e-02       1.881590353975e+04 
       3.152571795720e-02       1.874287282843e+04 
       3.167318528197e-02       1.866976357516e+04 
       3.182107661893e-02       1.859664924241e+04 
       3.196940285771e-02       1.852346697111e+04 
       3.211817522467e-02       1.845018905364e+04 
       3.226740529595e-02       1.837687140794e+04 
       3.241710501109e-02       1.830359455612e+04 
       3.256728668728e-02       1.823030967453e+04 
       3.271796303435e-02       1.815696948493e+04 
       3.286914717052e-02       1.808350268502e+04 
       3.302085263888e-02       1.801015450155e+04 
       3.317309342480e-02       1.793671989209e+04 
       3.332588397412e-02       1.786330273412e+04 
       3.347923921237e-02       1.778988537938e+04 
       3.363317456495e-02       1.771643210638e+04 
       3.378770597837e-02       1.764301973030e+04 
       3.394284994271e-02       1.756963477521e+04 
       3.409862351514e-02       1.749619618442e+04 
       3.425504434483e-02       1.742284687926e+04 
       3.441213069927e-02       1.734945817291e+04 
       3.456990149190e-02       1.727610840921e+04 
       3.472837631146e-02       1.720278333322e+04 
       3.488757545292e-02       1.712948165309e+04 
       3.504751995024e-02       1.705617887811e+04 
       3.520823161098e-02       1.698293904226e+04 
       3.536973305300e-02       1.690967525659e+04 
       3.553204774336e-02       1.683649820785e+04 
       3.569520003951e-02       1.676338699160e+04 
       3.585921523305e-02       1.669022447101e+04 
       3.602411959615e-02       1.661718921916e+04 
       3.618994043092e-02       1.654413597490e+04 
       3.635670612186e-02       1.647115626247e+04 
       3.652444619170e-02       1.639815558340e+04 
       3.669319136086e-02       1.632520631934e+04 
       3.686297361081e-02       1.625234685717e+04 
       3.703382625166e-02       1.617951066963e+04 
       3.720578399432e-02       1.610671586337e+04 
       3.737888302752e-02       1.603394589577e+04 
       3.755316110028e-02       1.596123853156e+04 
       3.772865761010e-02       1.588852330531e+04 
       3.790541369740e-02       1.581587935450e+04 
       3.808347234680e-02       1.574325894763e+04 
       3.826287849589e-02       1.567070062891e+04 
       3.844367915191e-02       1.559811991895e+04 
       3.862592351732e-02       1.552566553780e+04 
       3.880966312497e-02       1.545317594976e+04 
       3.899495198365e-02       1.538072337697e+04 
       3.918184673519e-02       1.530827814103e+04 
       3.937040682406e-02       1.523588792802e+04 
       3.956069468067e-02       1.516348282897e+04 
       3.975277591988e-02       1.509111612355e+04 
       3.994671955603e-02       1.501876179233e+04 
       4.014259823622e-02       1.494638632751e+04 
       4.034048849389e-02       1.487405823312e+04 
       4.054047102446e-02       1.480169055919e+04 
       4.074263098580e-02       1.472933093674e+04 
       4.094705832581e-02       1.465693980106e+04 
       4.115384814039e-02       1.458453369778e+04 
       4.136310106500e-02       1.451213696195e+04 
       4.157492370375e-02       1.443962733458e+04 
       4.178942910027e-02       1.436716407837e+04 
       4.200673725534e-02       1.429462686090e+04 
       4.222697569687e-02       1.422200682160e+04 
       4.245028010861e-02       1.414933111309e+04 
       4.267679502492e-02       1.407656055420e+04 
       4.290667460003e-02       1.400372799036e+04 
       4.314008346130e-02       1.393081292326e+04 
       4.337719765775e-02       1.385772149760e+04 
       4.361820571654e-02       1.378454332297e+04 
       4.386330982236e-02       1.371123983341e+04 
       4.411272713690e-02       1.363778092531e+04 
       4.436669127854e-02       1.356412088431e+04 
       4.462545398581e-02       1.349028128347e+04 
       4.488928699194e-02       1.341624225595e+04 
       4.515848414315e-02       1.334202944242e+04 
       4.543336379861e-02       1.326750522082e+04 
       4.571427155733e-02       1.319273509483e+04 
       4.600158336582e-02       1.311767481001e+04 
       4.629570907023e-02       1.304226806895e+04 
       4.659709648983e-02       1.296649546235e+04 
       4.690623610374e-02       1.289040375100e+04 
       4.722366646187e-02       1.281386006411e+04 
       4.754998045456e-02       1.273687204436e+04 
       4.788583260440e-02       1.265939558448e+04 
       4.823194757985e-02       1.258136427388e+04 
       4.858913017567e-02       1.250271447012e+04 
       4.895827706185e-02       1.242341111800e+04 
       4.934039067441e-02       1.234344081301e+04 
       4.973659571221e-02       1.226261733909e+04 
       5.014815881851e-02       1.218100189912e+04 
       5.057651217286e-02       1.209837784335e+04 
       5.102328190483e-02       1.201472147417e+04 
       5.149032247919e-02       1.192990096072e+04 
       5.197975850444e-02       1.184364017432e+04 
       5.249403579957e-02       1.175604245196e+04 
       5.303598403422e-02       1.166670828814e+04 
       5.360889384986e-02       1.157547704795e+04 
       5.421661207615e-02       1.148208007629e+04 
       5.486365945544e-02       1.138615498651e+04 
       5.555537608648e-02       1.128726367941e+04 
       5.629810037075e-02       1.118495797232e+04 
       5.709938708358e-02       1.107852465356e+04 
       5.796826824764e-02       1.096707864107e+04 
       5.891555469897e-02       1.084951056491e+04 
       5.995416277487e-02       1.072442375837e+04 
       6.109942281275e-02       1.058973737247e+04 
       6.236927410158e-02       1.044286099499e+04 
       6.378416324760e-02       1.028028429114e+04 
       6.536633835660e-02       1.009738078263e+04 
       6.713811137474e-02       9.888379708408e+03 
       6.911868846914e-02       9.646481637271e+03 
       7.131961840387e-02       9.364758070276e+03 
       7.373998962901e-02       9.037804235755e+03 
       7.636375449820e-02       8.664111837860e+03 
       7.916148889807e-02       8.248100260934e+03 
       8.209649526012e-02       7.800727198897e+03 
       8.513222551234e-02       7.337963093757e+03 
       8.823761411256e-02       6.878018272763e+03 
       9.138909140136e-02       6.438239213930e+03 
       9.457013477028e-02       6.032879286506e+03 
       9.776975996147e-02       5.671779294586e+03 
       1.009809117750e-01       5.360019159518e+03 
       1.041991564299e-01       5.098164984896e+03 
       1.074217451225e-01       4.883038175330e+03 
       1.106469878101e-01       4.708534337495e+03 
       1.138738506104e-01       4.566530255391e+03 
       1.171017029028e-01       4.447773189243e+03 
       1.203301606530e-01       4.342782772887e+03 
       1.235589901540e-01       4.242618847041e+03 
       1.267880491804e-01       4.139690862810e+03 
       1.300172511241e-01       4.028350977025e+03 
       1.332465431747e-01       3.905309248854e+03 
       1.364758930585e-01       3.769719194233e+03 
       1.397052809844e-01       3.622986369191e+03 
       1.429346947528e-01       3.468297117074e+03 
       1.461641267862e-01       3.310005807856e+03 
       1.493935723256e-01       3.152940777296e+03 
       1.526230283349e-01       3.001782739963e+03 
       1.558524928351e-01       2.860567148875e+03 
       1.590819644993e-01       2.732311388581e+03 
       1.623114424059e-01       2.618843410567e+03 
       1.655409258877e-01       2.520765775955e+03 
       1.687704144403e-01       2.437544106251e+03 
       1.719999076648e-01       2.367681804093e+03 
       1.752294052335e-01       2.308948913990e+03 
       1.784589068674e-01       2.258639216560e+03 
       1.816884123231e-01       2.213847538175e+03 
       1.849179213835e-01       2.172048579336e+03 
       1.881474338521e-01       2.130642695321e+03 
       1.913769495494e-01       2.087175495125e+03 
       1.946064683099e-01       2.040174812459e+03 
       1.978359899803e-01       1.988920487632e+03 
       2.010655144181e-01       1.933461890404e+03 
       2.042950414902e-01       1.874521766780e+03 
       2.075245710722e-01       1.813327920940e+03 
       2.107541030476e-01       1.751355933676e+03 
       2.139836373069e-01       1.690146002099e+03 
       2.172131737476e-01       1.631118629653e+03 
       2.204427122729e-01       1.575432866649e+03 
       2.236722527919e-01       1.523950191474e+03 
       2.269017952188e-01       1.477195710911e+03 
       2.301313394728e-01       1.435360378570e+03 
       2.333608854774e-01       1.398322145191e+03 
       2.365904331604e-01       1.365668070458e+03 
       2.398199824537e-01       1.336745339988e+03 
       2.430495332925e-01       1.310723763302e+03 
       2.462790856157e-01       1.286683196038e+03 
       2.495086393653e-01       1.263717217635e+03 
       2.527381944863e-01       1.241012570269e+03 
       2.559677509263e-01       1.217917618131e+03 
       2.591973086359e-01       1.193985100119e+03 
       2.624268675678e-01       1.168979292097e+03 
       2.656564276772e-01       1.142861731940e+03 
       2.688859889214e-01       1.115788467252e+03 
       2.721155512598e-01       1.088038735014e+03 
       2.753451146536e-01       1.060027239914e+03 
       2.785746790660e-01       1.032216373041e+03 
       2.818042444616e-01       1.005081361574e+03 
       2.850338108070e-01       9.790519487014e+02 
       2.882633780700e-01       9.544661464417e+02 
       2.914929462199e-01       9.315392907416e+02 
       2.947225152274e-01       9.103580129082e+02 
       2.979520850645e-01       8.908812930445e+02 
       3.011816557044e-01       8.729733099174e+02 
       3.044112271213e-01       8.564208603096e+02 
       3.076407992907e-01       8.409720835552e+02 
       3.108703721890e-01       8.263560946973e+02 
       3.140999457936e-01       8.122951084158e+02 
       3.173295200828e-01       7.985343694138e+02 
       3.205590950359e-01       7.848504547659e+02 
       3.237886706328e-01       7.710736117788e+02 
       3.270182468543e-01       7.570997127850e+02 
       3.302478236822e-01       7.428942795979e+02 
       3.334774010987e-01       7.284912395549e+02 
       3.367069790867e-01       7.139802077662e+02 
       3.399365576299e-01       6.994802922918e+02 
       3.431661367125e-01       6.851251834044e+02 
       3.463957163195e-01       6.710502103933e+02 
       3.496252964361e-01       6.573733983234e+02 
       3.528548770484e-01       6.441920865668e+02 
       3.560844581427e-01       6.315868848187e+02 
       3.593140397061e-01       6.196015920533e+02 
       3.625436217260e-01       6.082492364964e+02 
       3.657732041901e-01       5.975103141030e+02 
       3.690027870868e-01       5.873296211505e+02 
       3.722323704047e-01       5.776282415184e+02 
       3.754619541331e-01       5.683126031227e+02 
       3.786915382612e-01       5.592865467892e+02 
       3.819211227790e-01       5.504621601929e+02 
       3.851507076765e-01       5.417724780154e+02 
       3.883802929443e-01       5.331654106835e+02 
       3.916098785732e-01       5.246084964989e+02 
       3.948394645543e-01       5.160835869027e+02 
       3.980690508789e-01       5.075885297377e+02 
       4.012986375388e-01       4.991354830334e+02 
       4.045282245258e-01       4.907446258447e+02 
       4.077578118322e-01       4.824501917302e+02 
       4.109873994505e-01       4.742917597524e+02 
       4.142169873732e-01       4.663089221380e+02 
       4.174465755933e-01       4.585340436233e+02 
       4.206761641040e-01       4.509892528492e+02 
       4.239057528985e-01       4.436866450415e+02 
       4.271353419704e-01       4.366287689504e+02 
       4.303649313135e-01       4.298079093262e+02 
       4.335945209216e-01       4.232134714000e+02 
       4.368241107888e-01       4.168343039646e+02 
       4.400537009094e-01       4.106541441681e+02 
       4.432832912780e-01       4.046487274963e+02 
       4.465128818889e-01       3.987940883403e+02 
       4.497424727371e-01       3.930653725496e+02 
       4.529720638175e-01       3.874362040249e+02 
       4.562016551250e-01       3.818875189847e+02 
       4.594312466548e-01       3.764046350784e+02 
       4.626608384024e-01       3.709829736345e+02 
       4.658904303632e-01       3.656208134844e+02 
       4.691200225327e-01       3.603227325127e+02 
       4.723496149066e-01       3.550946713217e+02 
       4.755792074808e-01       3.499405539453e+02 
       4.788088002512e-01       3.448688465302e+02 
       4.820383932138e-01       3.398892171073e+02 
       4.852679863648e-01       3.350113876885e+02 
       4.884975797005e-01       3.302450724406e+02 
       4.917271732171e-01       3.255982920428e+02 
       4.949567669112e-01       3.210741787668e+02 
       4.981863607793e-01       3.166719893507e+02 
       5.014159548180e-01       3.123849778676e+02 
       5.046455490240e-01       3.082013778507e+02 
       5.078751433941e-01       3.041140941646e+02 
       5.111047379252e-01       3.001122466243e+02 
       5.143343326143e-01       2.961876378322e+02 
       5.175639274583e-01       2.923337082813e+02 
       5.207935224545e-01       2.885441920789e+02 
       5.240231175999e-01       2.848119944225e+02 
       5.272527128918e-01       2.811323905840e+02 
       5.304823083276e-01       2.775012612595e+02 
       5.337119039046e-01       2.739175144782e+02 
       5.369414996202e-01       2.703838097713e+02 
       5.401710954721e-01       2.669017824377e+02 
       5.434006914576e-01       2.634776537780e+02 
       5.466302875745e-01       2.601141506521e+02 
       5.498598838205e-01       2.568129515536e+02 
       5.530894801932e-01       2.535737383036e+02 
       5.563190766905e-01       2.503961748275e+02 
       5.595486733101e-01       2.472797965759e+02 
       5.627782700501e-01       2.442224591365e+02 
       5.660078669082e-01       2.412249141735e+02 
       5.692374638826e-01       2.382865802685e+02 
       5.724670609711e-01       2.354065178922e+02 
       5.756966581720e-01       2.325808873031e+02 
       5.789262554833e-01       2.298051632458e+02 
       5.821558529031e-01       2.270763841948e+02 
       5.853854504297e-01       2.243893917387e+02 
       5.886150480613e-01       2.217438594627e+02 
       5.918446457962e-01       2.191394373751e+02 
       5.950742436327e-01       2.165750691972e+02 
       5.983038415692e-01       2.140497613124e+02 
       6.015334396039e-01       2.115626105032e+02 
       6.047630377354e-01       2.091116911679e+02 
       6.079926359622e-01       2.066965566324e+02 
       6.112222342826e-01       2.043162087542e+02 
       6.144518326952e-01       2.019716617526e+02 
       6.176814311986e-01       1.996635710584e+02 
       6.209110297913e-01       1.973950990641e+02 
       6.241406284720e-01       1.951648853554e+02 
       6.273702272392e-01       1.929736946812e+02 
       6.305998260918e-01       1.908188406779e+02 
       6.338294250282e-01       1.886997775026e+02 
       6.370590240474e-01       1.866140167584e+02 
       6.402886231479e-01       1.845607361986e+02 
       6.435182223287e-01       1.825410259569e+02 
       6.467478215884e-01       1.805531868502e+02 
       6.499774209259e-01       1.785974993121e+02 
       6.532070203401e-01       1.766718373445e+02 
       6.564366198297e-01       1.747735330092e+02 
       6.596662193938e-01       1.729026101640e+02 
       6.628958190312e-01       1.710571605623e+02 
       6.661254187408e-01       1.692373789636e+02 
       6.693550185216e-01       1.674432446252e+02 
       6.725846183726e-01       1.656757524666e+02 
       6.758142182927e-01       1.639344210407e+02 
       6.790438182810e-01       1.622187292758e+02 
       6.822734183365e-01       1.605275610963e+02 
       6.855030184582e-01       1.588606527742e+02 
       6.887326186453e-01       1.572164597681e+02 
       6.919622188967e-01       1.555961435131e+02 
       6.951918192116e-01       1.539997943702e+02 
       6.984214195892e-01       1.524277025494e+02 
       7.016510200284e-01       1.508794501977e+02 
       7.048806205286e-01       1.493541174897e+02 
       7.081102210888e-01       1.478507907034e+02 
       7.113398217083e-01       1.463681945293e+02 
       7.145694223862e-01       1.449057049643e+02 
       7.177990231218e-01       1.434632632115e+02 
       7.210286239142e-01       1.420411479919e+02 
       7.242582247627e-01       1.406388842195e+02 
       7.274878256666e-01       1.392563924402e+02 
       7.307174266251e-01       1.378930378757e+02 
       7.339470276375e-01       1.365477049069e+02 
       7.371766287031e-01       1.352195991803e+02 
       7.404062298211e-01       1.339087023611e+02 
       7.436358309910e-01       1.326147989720e+02 
       7.468654322120e-01       1.313383817083e+02 
       7.500950334835e-01       1.300797915653e+02 
       7.533246348048e-01       1.288385685169e+02 
       7.565542361753e-01       1.276143290189e+02 
       8.263007815812e-01       1.047035068535e+02 
       9.270043399029e-01       8.066438419760e+01 
       1.086815841735e+00       5.596408076782e+01 
       1.340075489510e+00       3.430138285057e+01 
       1.684674537323e+00       1.990373039894e+01 
#       2.120837542370e+00       1.140736324657e+01 
#       2.669976132577e+00       6.484172064282e+00 
#       3.361300802117e+00       3.658482108008e+00 
#       4.231626996469e+00       2.050305055044e+00 
#       5.327302759089e+00       1.141980925545e+00 
#       6.706676819739e+00       6.325069853380e-01 
#       8.443205877060e+00       3.485242815925e-01 
